Fiscal Year,Eff. Date,Job Code,Title,Union Code,SetID,Grade,Biweekly Min,Biweekly Max,Extended Range,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20
FY18-19,7/1/2018,886,Mayoral Staff VI,2,COMMN,0886P,2402,2920,,30.025,31.5125,33.1,34.7625,36.5,,,,,,,,,,,,,,,
FY18-19,7/1/2018,887,Mayoral Staff VII,2,COMMN,0887P,2583,3140,,32.2875,33.9125,35.6125,37.3875,39.25,,,,,,,,,,,,,,,
FY18-19,7/1/2018,888,Mayoral Staff VIII,2,COMMN,0888P,2781,3381,,34.7625,36.5,38.325,40.25,42.2625,,,,,,,,,,,,,,,
FY18-19,7/1/2018,889,Mayoral Staff IX,2,COMMN,0889P,2991,3635,,37.3875,39.25,41.2125,43.275,45.4375,,,,,,,,,,,,,,,
FY18-19,7/1/2018,890,Mayoral Staff X,2,COMMN,0890P,3232,3928,,40.4,42.425,44.55,46.775,49.1,,,,,,,,,,,,,,,
FY18-19,7/1/2018,891,Mayoral Staff XI,2,COMMN,0891P,3481,4232,,43.5125,45.6875,47.9875,50.375,52.9,,,,,,,,,,,,,,,
FY18-19,7/1/2018,892,Mayoral Staff XII,2,COMMN,0892P,3742,4547,,46.775,49.1125,51.5625,54.125,56.8375,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1010,Information Systems Trainee,21,COMMN,1010P,2264,3541,,28.3,29.125,41.9375,43.1,44.2625,32.35,33.25,34.1625,29.9625,30.8,31.6375,,,,,,,,,
FY18-19,7/1/2018,1010,Information Systems Trainee,21,SFMTA,1010P,2264,3541,,28.3,29.125,41.9375,43.1,44.2625,32.35,33.25,34.1625,29.9625,30.8,31.6375,,,,,,,,,
FY18-19,7/1/2018,1011,IS Technician-Assistant,21,COMMN,1011P,1934,2349,,24.175,25.375,26.6375,27.975,29.3625,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1011,IS Technician-Assistant,21,SFMTA,1011P,1934,2349,,24.175,25.375,26.6375,27.975,29.3625,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1021,IS Administrator I,21,COMMN,1021P,2566,3119,,32.075,33.6625,35.35,37.1375,38.9875,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1021,IS Administrator I,21,SFMTA,1021P,2566,3119,,32.075,33.6625,35.35,37.1375,38.9875,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1022,IS Administrator II,21,COMMN,1022P,3119,3791,,38.9875,40.9375,42.975,45.125,47.3875,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1022,IS Administrator II,21,SFMTA,1022P,3119,3791,,38.9875,40.9375,42.975,45.125,47.3875,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1023,IS Administrator III,21,COMMN,1023P,3791,4607,,47.3875,49.7625,52.25,54.8625,57.5875,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1023,IS Administrator III,21,SFMTA,1023P,3791,4607,,47.3875,49.7625,52.25,54.8625,57.5875,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1024,IS Administrator-Supervisor,21,COMMN,1024P,4078,4956,,50.975,53.525,56.2,58.9875,61.95,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1024,IS Administrator-Supervisor,21,SFMTA,1024P,4078,4956,,50.975,53.525,56.2,58.9875,61.95,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1031,IS Trainer-Assistant,21,COMMN,1031P,2566,3119,,32.075,33.6625,35.35,37.1375,38.9875,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1031,IS Trainer-Assistant,21,SFMTA,1031P,2566,3119,,32.075,33.6625,35.35,37.1375,38.9875,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1032,IS Trainer-Journey,21,COMMN,1032P,3119,3791,,38.9875,40.9375,42.975,45.125,47.3875,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1032,IS Trainer-Journey,21,SFMTA,1032P,3119,3791,,38.9875,40.9375,42.975,45.125,47.3875,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1033,IS Trainer-Senior,21,COMMN,1033P,3791,4607,,47.3875,49.7625,52.25,54.8625,57.5875,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1033,IS Trainer-Senior,21,SFMTA,1033P,3791,4607,,47.3875,49.7625,52.25,54.8625,57.5875,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1041,IS Engineer-Assistant,21,COMMN,1041P,3728,4688,,46.6,47.7375,48.9,50.6,51.875,53.1625,54.4625,55.8,57.1875,58.6,,,,,,,,,,
FY18-19,7/1/2018,1041,IS Engineer-Assistant,21,SFMTA,1041P,3728,4688,,46.6,47.7375,48.9,50.6,51.875,53.1625,54.4625,55.8,57.1875,58.6,,,,,,,,,,
FY18-19,7/1/2018,1042,IS Engineer-Journey,21,COMMN,1042P,4127,5192,,51.5875,52.9,54.1875,56.075,57.4875,58.875,60.325,61.8,63.375,64.9,,,,,,,,,,
FY18-19,7/1/2018,1042,IS Engineer-Journey,21,SFMTA,1042P,4127,5192,,51.5875,52.9,54.1875,56.075,57.4875,58.875,60.325,61.8,63.375,64.9,,,,,,,,,,
FY18-19,7/1/2018,1043,IS Engineer-Senior,21,COMMN,1043P,4575,5754,,57.1875,58.6,60.05,62.1,63.6,65.1875,66.85,68.4875,70.2,71.925,,,,,,,,,,
FY18-19,7/1/2018,1043,IS Engineer-Senior,21,SFMTA,1043P,4575,5754,,57.1875,58.6,60.05,62.1,63.6,65.1875,66.85,68.4875,70.2,71.925,,,,,,,,,,
FY18-19,7/1/2018,1044,IS Engineer-Principal,21,COMMN,1044P,4921,6667,11,61.5125,63.0625,64.6375,66.85,68.4875,70.2,71.925,73.6875,75.525,77.375,79.2875,81.275,83.3375,,,,,,,
FY18-19,7/1/2018,1044,IS Engineer-Principal,21,SFMTA,1044P,4921,6667,11,61.5125,63.0625,64.6375,66.85,68.4875,70.2,71.925,73.6875,75.525,77.375,79.2875,81.275,83.3375,,,,,,,
FY18-19,7/1/2018,1051,IS Business Analyst-Assistant,21,COMMN,1051P,2876,3617,,35.95,36.8875,37.7625,39.0625,40.0625,41.05,42.075,43.0625,44.175,45.2125,,,,,,,,,,
FY18-19,7/1/2018,1051,IS Business Analyst-Assistant,21,SFMTA,1051P,2876,3617,,35.95,36.8875,37.7625,39.0625,40.0625,41.05,42.075,43.0625,44.175,45.2125,,,,,,,,,,
FY18-19,7/1/2018,1052,IS Business Analyst,21,COMMN,1052P,3331,4189,,41.6375,42.6625,43.675,45.2125,46.35,47.5125,48.6625,49.875,51.1,52.3625,,,,,,,,,,
FY18-19,7/1/2018,1052,IS Business Analyst,21,SFMTA,1052P,3331,4189,,41.6375,42.6625,43.675,45.2125,46.35,47.5125,48.6625,49.875,51.1,52.3625,,,,,,,,,,
FY18-19,7/1/2018,1053,IS Business Analyst-Senior,21,COMMN,1053P,3855,4850,,48.1875,49.425,50.6,52.3625,53.65,54.9875,56.3625,57.75,59.175,60.625,,,,,,,,,,
FY18-19,7/1/2018,1053,IS Business Analyst-Senior,21,SFMTA,1053P,3855,4850,,48.1875,49.425,50.6,52.3625,53.65,54.9875,56.3625,57.75,59.175,60.625,,,,,,,,,,
FY18-19,7/1/2018,1054,IS Business Analyst-Principal,21,COMMN,1054P,4464,6047,11,55.8,57.1875,58.6,60.625,62.1,63.6,65.1875,66.85,68.4875,70.2,71.95,73.75,75.5875,,,,,,,
FY18-19,7/1/2018,1164,"Administrator, SFGH Medical Center",351,COMMN,1164P,9889,13253,6,123.6125,129.7875,136.275,143.0875,150.25,157.775,165.6625,,,,,,,,,,,,,
FY18-19,7/1/2018,1054,IS Business Analyst-Principal,21,SFMTA,1054P,4464,6047,11,55.8,57.1875,58.6,60.625,62.1,63.6,65.1875,66.85,68.4875,70.2,71.95,73.75,75.5875,,,,,,,
FY18-19,7/1/2018,1061,IS Program Analyst-Assistant,21,COMMN,1061P,2663,3344,,33.2875,34.0875,34.9375,36.125,37.05,37.9375,38.8875,39.8375,40.85,41.8,,,,,,,,,,
FY18-19,7/1/2018,1061,IS Program Analyst-Assistant,21,SFMTA,1061P,2663,3344,,33.2875,34.0875,34.9375,36.125,37.05,37.9375,38.8875,39.8375,40.85,41.8,,,,,,,,,,
FY18-19,7/1/2018,1062,IS Programmer Analyst,21,COMMN,1062P,2876,3617,,35.95,36.8875,37.7625,39.0625,40.0625,41.05,42.075,43.0625,44.175,45.2125,,,,,,,,,,
FY18-19,7/1/2018,1062,IS Programmer Analyst,21,SFMTA,1062P,2876,3617,,35.95,36.8875,37.7625,39.0625,40.0625,41.05,42.075,43.0625,44.175,45.2125,,,,,,,,,,
FY18-19,7/1/2018,1063,IS Programmer Analyst-Senior,21,COMMN,1063P,3494,4399,,43.675,44.8,45.95,47.5125,48.6625,49.875,51.1,52.3625,53.65,54.9875,,,,,,,,,,
FY18-19,7/1/2018,1063,IS Programmer Analyst-Senior,21,SFMTA,1063P,3494,4399,,43.675,44.8,45.95,47.5125,48.6625,49.875,51.1,52.3625,53.65,54.9875,,,,,,,,,,
FY18-19,7/1/2018,1064,IS Programmer Analyst-Principal,21,COMMN,1064P,4069,5514,11,50.8625,52.15,53.3875,55.2875,56.6,58.0125,59.5,60.9375,62.45,63.9875,65.5875,67.2375,68.925,,,,,,,
FY18-19,7/1/2018,1064,IS Programmer Analyst-Principal,21,SFMTA,1064P,4069,5514,11,50.8625,52.15,53.3875,55.2875,56.6,58.0125,59.5,60.9375,62.45,63.9875,65.5875,67.2375,68.925,,,,,,,
FY18-19,7/1/2018,1070,IS Project Director,21,COMMN,1070P,4921,6667,11,61.5125,63.0625,64.6375,66.85,68.4875,70.2,71.925,73.6875,75.525,77.375,79.2875,81.275,83.3375,,,,,,,
FY18-19,7/1/2018,1070,IS Project Director,21,SFMTA,1070P,4921,6667,11,61.5125,63.0625,64.6375,66.85,68.4875,70.2,71.925,73.6875,75.525,77.375,79.2875,81.275,83.3375,,,,,,,
FY18-19,7/1/2018,1071,IS Manager,351,COMMN,1071P,5165,7358,,64.5625,67.8,71.2,74.75,78.4875,82.4625,86.5375,90.9125,91.975,,,,,,,,,,,
FY18-19,7/1/2018,1071,IS Manager,351,SFMTA,1071P,5165,7358,,64.5625,67.8,71.2,74.75,78.4875,82.4625,86.5375,90.9125,91.975,,,,,,,,,,,
FY18-19,7/1/2018,1091,IT Operations Support Administrator I,21,COMMN,1091P,2184,2707,,27.3,27.975,28.6625,29.3625,30.0875,30.85,31.6,32.375,33.175,33.8375,,,,,,,,,,
FY18-19,7/1/2018,1091,IT Operations Support Administrator I,21,SFMTA,1091P,2184,2707,,27.3,27.975,28.6625,29.3625,30.0875,30.85,31.6,32.375,33.175,33.8375,,,,,,,,,,
FY18-19,7/1/2018,1092,IT Operations Support Administrator II,21,COMMN,1092P,2566,3180,,32.075,32.8625,33.6625,34.5,35.35,36.225,37.1375,38.0375,38.9875,39.75,,,,,,,,,,
FY18-19,7/1/2018,1092,IT Operations Support Administrator II,21,SFMTA,1092P,2566,3180,,32.075,32.8625,33.6625,34.5,35.35,36.225,37.1375,38.0375,38.9875,39.75,,,,,,,,,,
FY18-19,7/1/2018,1232,Training Officer,21,COMMN,1232P,3275,3981,,40.9375,42.975,45.125,47.3875,49.7625,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1093,IT Operations Support Administrator III,21,COMMN,1093P,3119,3865,,38.9875,39.9375,40.9375,41.9375,42.975,44.0375,45.125,46.2375,47.3875,48.3125,,,,,,,,,,
FY18-19,7/1/2018,1093,IT Operations Support Administrator III,21,SFMTA,1093P,3119,3865,,38.9875,39.9375,40.9375,41.9375,42.975,44.0375,45.125,46.2375,47.3875,48.3125,,,,,,,,,,
FY18-19,7/1/2018,1094,IT Operations Support Administrator IV,21,COMMN,1094P,3791,4698,,47.3875,48.55,49.7625,50.975,52.25,53.525,54.8625,56.2,57.5875,58.725,,,,,,,,,,
FY18-19,7/1/2018,1094,IT Operations Support Administrator IV,21,SFMTA,1094P,3791,4698,,47.3875,48.55,49.7625,50.975,52.25,53.525,54.8625,56.2,57.5875,58.725,,,,,,,,,,
FY18-19,7/1/2018,1095,IT Operations Support Administrator V,21,COMMN,1095P,4078,5056,,50.975,52.25,53.525,54.8625,56.2,57.5875,58.9875,60.4875,61.95,63.2,,,,,,,,,,
FY18-19,7/1/2018,1095,IT Operations Support Administrator V,21,SFMTA,1095P,4078,5056,,50.975,52.25,53.525,54.8625,56.2,57.5875,58.9875,60.4875,61.95,63.2,,,,,,,,,,
FY18-19,7/1/2018,1110,"Executive Assistant To The Executive Director, Retirement System",351,COMMN,1110P,4007,5370,6,50.0875,52.6,55.225,57.975,60.8875,63.9375,67.125,,,,,,,,,,,,,
FY18-19,7/1/2018,1110,"Executive Assistant To The Executive Director, Retirement System",351,SFMTA,1110P,4007,5370,6,50.0875,52.6,55.225,57.975,60.8875,63.9375,67.125,,,,,,,,,,,,,
FY18-19,7/1/2018,1117,"Deputy Director for Investments, Retirement System",351,COMMN,1117P,11468,13941,,143.35,150.5375,158.0625,165.9625,174.2625,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1130,Youth Commission Advisor,22,COMMN,1130P,2366,2876,,29.575,31.05,32.6125,34.2375,35.95,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1163,Executive Assistant To The Director of Health,351,COMMN,1163P,5027,6111,,62.8375,65.9875,69.2875,72.7625,76.3875,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1163,Executive Assistant To The Director of Health,351,SFMTA,1163P,5027,6111,,62.8375,65.9875,69.2875,72.7625,76.3875,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1164,"Administrator, SFGH Medical Center",351,SFMTA,1164P,9889,13253,6,123.6125,129.7875,136.275,143.0875,150.25,157.775,165.6625,,,,,,,,,,,,,
FY18-19,7/1/2018,1190,Mayor,556,COMMN,1190P,12923,12923,,161.5365,,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1201,Personnel Technician Trainee,790,COMMN,1201P,2366,2876,,29.575,31.05,32.6125,34.2375,35.95,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1201,Personnel Technician Trainee,790,SFMTA,1201P,2366,2876,,29.575,31.05,32.6125,34.2375,35.95,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1202,Personnel Clerk,790,COMMN,1202P,2142,2604,,26.775,28.125,29.525,30.9875,32.55,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1202,Personnel Clerk,790,SFMTA,1202P,2142,2604,,26.775,28.125,29.525,30.9875,32.55,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1203,Personnel Technician,22,COMMN,1203P,2598,3158,,32.475,34.0875,35.8,37.6,39.475,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1203,Personnel Technician,22,SFMTA,1203P,2598,3158,,32.475,34.0875,35.8,37.6,39.475,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1204,Senior Personnel Clerk,790,COMMN,1204P,2479,3014,,30.9875,32.55,34.175,35.8875,37.675,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1204,Senior Personnel Clerk,790,SFMTA,1204P,2479,3014,,30.9875,32.55,34.175,35.8875,37.675,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1209,Benefits Technician,790,COMMN,1209P,2265,2754,,28.3125,29.725,31.225,32.775,34.425,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1209,Benefits Technician,790,SFMTA,1209P,2265,2754,,28.3125,29.725,31.225,32.775,34.425,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1210,Benefits Analyst,790,COMMN,1210P,2687,3267,,33.5875,35.275,37.0375,38.9,40.8375,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1210,Benefits Analyst,790,SFMTA,1210P,2687,3267,,33.5875,35.275,37.0375,38.9,40.8375,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1218,Payroll Supervisor,790,COMMN,1218P,3462,4208,,43.275,45.4375,47.7,50.0875,52.6,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1218,Payroll Supervisor,790,SFMTA,1218P,3462,4208,,43.275,45.4375,47.7,50.0875,52.6,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1220,Payroll and Personnel Clerk,790,COMMN,1220P,2461,2991,,30.7625,32.2875,33.9125,35.6125,37.3875,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1220,Payroll and Personnel Clerk,790,SFMTA,1220P,2461,2991,,30.7625,32.2875,33.9125,35.6125,37.3875,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1222,Senior Payroll And Personnel Clerk,790,COMMN,1222P,2700,3282,,33.75,35.4375,37.2125,39.0625,41.025,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1222,Senior Payroll And Personnel Clerk,790,SFMTA,1222P,2700,3282,,33.75,35.4375,37.2125,39.0625,41.025,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1224,Principal Payroll And Personnel Clerk,790,COMMN,1224P,2977,3617,,37.2125,39.0625,41.025,43.0625,45.2125,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1224,Principal Payroll And Personnel Clerk,790,SFMTA,1224P,2977,3617,,37.2125,39.0625,41.025,43.0625,45.2125,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1226,Chief Payroll And Personnel Clerk,790,COMMN,1226P,3140,3816,,39.25,41.2125,43.275,45.4375,47.7,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1226,Chief Payroll And Personnel Clerk,790,SFMTA,1226P,3140,3816,,39.25,41.2125,43.275,45.4375,47.7,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1227,Testing Technician,790,COMMN,1227P,2167,2634,,27.0875,28.4375,29.875,31.3625,32.925,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1227,Testing Technician,790,SFMTA,1227P,2167,2634,,27.0875,28.4375,29.875,31.3625,32.925,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1229,Special Examiner,22,COMMN,1229P,4671,6940,,58.3875,86.75,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1229,Special Examiner,22,SFMTA,1229P,4671,6940,,58.3875,86.75,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1230,Instructional Designer,21,COMMN,1230P,3610,4389,,45.125,47.3875,49.7625,52.25,54.8625,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1231,Equal Employment Opportunity Programs Senior Specialist,22,COMMN,1231P,4019,4884,,50.2375,52.75,55.375,58.1625,61.05,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1231,Equal Employment Opportunity Programs Senior Specialist,22,SFMTA,1231P,4019,4884,,50.2375,52.75,55.375,58.1625,61.05,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1232,Training Officer,21,SFMTA,1232P,3275,3981,,40.9375,42.975,45.125,47.3875,49.7625,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1233,Equal Employment Opportunity Programs Specialist,22,COMMN,1233P,3171,3854,,39.6375,41.6125,43.7,45.8875,48.175,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1233,Equal Employment Opportunity Programs Specialist,22,SFMTA,1233P,3171,3854,,39.6375,41.6125,43.7,45.8875,48.175,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1241,Human Resources Analyst,22,COMMN,1241P,2683,3948,,33.5375,35.15,36.9,38.6875,40.5875,42.625,44.775,47.0125,49.35,,,,,,,,,,,
FY18-19,7/1/2018,1241,Human Resources Analyst,22,SFMTA,1241P,2683,3948,,33.5375,35.15,36.9,38.6875,40.5875,42.625,44.775,47.0125,49.35,,,,,,,,,,,
FY18-19,7/1/2018,1244,Senior Human Resources Analyst,22,COMMN,1244P,3791,4607,,47.3875,49.7625,52.25,54.8625,57.5875,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1244,Senior Human Resources Analyst,22,SFMTA,1244P,3791,4607,,47.3875,49.7625,52.25,54.8625,57.5875,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1246,Principal Human Resources Analyst,22,COMMN,1246P,4496,5881,6,56.2,58.9875,61.95,65.05,68.3125,70.0125,71.7125,73.5125,,,,,,,,,,,,
FY18-19,7/1/2018,1246,Principal Human Resources Analyst,22,SFMTA,1246P,4496,5881,6,56.2,58.9875,61.95,65.05,68.3125,70.0125,71.7125,73.5125,,,,,,,,,,,,
FY18-19,7/1/2018,1249,Human Resources Trainee,22,COMMN,1249P,2549,2683,,31.8625,33.5375,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1249,Human Resources Trainee,22,SFMTA,1249P,2549,2683,,31.8625,33.5375,,,,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1250,Recruiter,22,COMMN,1250P,3791,4607,,47.3875,49.7625,52.25,54.8625,57.5875,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1250,Recruiter,22,SFMTA,1250P,3791,4607,,47.3875,49.7625,52.25,54.8625,57.5875,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1280,Employee Relations Representative,1,COMMN,1280P,3275,4607,6,40.9375,42.975,45.125,47.3875,49.7625,52.25,54.8625,57.5875,,,,,,,,,,,,
FY18-19,7/1/2018,1281,Senior Employee Relations Representative,1,COMMN,1281P,4198,5908,6,52.475,55.1,57.85,60.75,63.7875,66.9875,70.325,73.85,,,,,,,,,,,,
FY18-19,7/1/2018,1310,Public Relations Assistant,790,COMMN,1310P,2167,2634,,27.0875,28.4375,29.875,31.3625,32.925,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1310,Public Relations Assistant,790,SFMTA,1310P,2167,2634,,27.0875,28.4375,29.875,31.3625,32.925,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1312,Public Information Officer,21,COMMN,1312P,2871,3490,,35.8875,37.675,39.55,41.5375,43.625,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1312,Public Information Officer,21,SFMTA,1312P,2871,3490,,35.8875,37.675,39.55,41.5375,43.625,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1314,Public Relations Officer,21,COMMN,1314P,3423,4160,,42.7875,44.925,47.175,49.5125,52,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1314,Public Relations Officer,21,SFMTA,1314P,3423,4160,,42.7875,44.925,47.175,49.5125,52,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1322,Customer Service Agent Trainee,790,COMMN,1322P,2547,3096,,31.8375,33.4375,35.1,36.85,38.7,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1324,Customer Service Agent,790,COMMN,1324P,2622,3188,,32.775,34.425,36.15,37.95,39.85,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1326,Customer Service Agent Supervisor,790,COMMN,1326P,2971,3610,,37.1375,38.9875,40.9375,42.975,45.125,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1360,Special Assistant I,21,COMMN,1360P,1755,2131,,21.9375,23.025,24.175,25.375,26.6375,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1360,Special Assistant I,21,SFMTA,1360P,1755,2131,,21.9375,23.025,24.175,25.375,26.6375,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1361,Special Assistant II,21,COMMN,1361P,1886,2293,,23.575,24.7625,26,27.3,28.6625,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1361,Special Assistant II,21,SFMTA,1361P,1886,2293,,23.575,24.7625,26,27.3,28.6625,,,,,,,,,,,,,,,
FY18-19,7/1/2018,1362,Special Assistant III,21,COMMN,1362P,2030,2468,,25.375,26.6375,27.975,29.3625,30.85,,,,,,,,,,,,,,,
